Name;Month;AvgEditionVolume;SalesOfPrintedVersions;SalesOfEVersions;SalesTotal;SpreadOfPrintedVersions;SpreadOfEVersions;SpreadTotal
a603;czerwiec 2017;12 536;8 755;346;9 101;8 757;346;9 103
a604;czerwiec 2017;30 626;21 421;11;21 432;21 667;11;21 678
a605;czerwiec 2017;389 430;259 859;162;260 021;259 859;162;260 021
a606;czerwiec 2017;20 446;12 704;167;12 871;12 716;167;12 883
a607;czerwiec 2017;20 794;13 061;321;13 382;13 117;321;13 438
a608;czerwiec 2017;19 972;15 152;230;15 382;15 160;230;15 390
a609;czerwiec 2017;16 860;10 782;62;10 844;11 002;62;11 064
a610;czerwiec 2017;29 818;21 933;2 178;24 111;21 933;2 178;24 111
a611;czerwiec 2017;67 135;17 820;359;18 179;17 820;366;18 186
a612;czerwiec 2017;38 607;32 813;288;33 101;32 833;288;33 121
a613;czerwiec 2017;18 664;12 270;449;12 719;12 270;449;12 719
a614;czerwiec 2017;7 360;4 847;180;5 027;4 970;180;5 150
a615;czerwiec 2017;193 865;110 568;1 620;112 188;114 559;12 763;127 322
a616;czerwiec 2017;22 805;16 484;356;16 840;16 616;356;16 972
a617;czerwiec 2017;31 849;23 370;661;24 031;23 374;661;24 035
a618;czerwiec 2017;7 355;3 310;32;3 342;3 310;32;3 342
a619;czerwiec 2017;6 416;4 296;26;4 322;4 456;26;4 482
a620;czerwiec 2017;15 578;9 008;72;9 080;9 953;72;10 025
a621;czerwiec 2017;16 288;10 339;174;10 513;11 660;174;11 834
a622;czerwiec 2017;13 195;9 872;219;10 091;9 873;219;10 092
a623;czerwiec 2017;10 212;2 091;1 664;3 755;2 119;1 964;4 083
a624;czerwiec 2017;9 077;2 623;124;2 747;2 623;124;2 747
a625;czerwiec 2017;54 730;25 753;348;26 101;25 753;348;26 101
a626;czerwiec 2017;12 561;6 480;3 221;9 701;8 996;3 221;12 217
a627;czerwiec 2017;74 813;37 487;11 385;48 872;37 514;11 385;48 899
a628;czerwiec 2017;9 880;4 863;14;4 877;4 863;14;4 877
a629;czerwiec 2017;231 499;128 209;0;128 209;128 929;0;128 929
a630;czerwiec 2017;13 247;6 696;0;6 696;6 696;0;6 696
a631;lipiec 2017;23 963;16 051;199;16 250;16 097;199;16 296
a632;lipiec 2017;46 755;28 028;10 678;38 706;29 708;13 060;42 768
a633;lipiec 2017;22 671;14 838;259;15 097;15 100;259;15 359
a634;lipiec 2017;20 745;13 229;131;13 360;13 357;131;13 488
a635;lipiec 2017;8 845;4 675;0;4 675;4 680;0;4 680
a636;lipiec 2017;45 096;26 808;378;27 186;26 808;378;27 186
a637;lipiec 2017;19 492;12 118;356;12 474;12 610;679;13 289
a638;lipiec 2017;11 448;7 956;97;8 053;7 957;97;8 054
a639;lipiec 2017;27 163;18 668;10;18 678;18 853;10;18 863
a640;lipiec 2017;389 436;252 401;176;252 577;252 401;176;252 577
a641;lipiec 2017;17 119;11 261;52;11 313;11 271;52;11 323
a642;lipiec 2017;18 974;11 937;452;12 389;11 960;452;12 412
a643;lipiec 2017;20 152;15 304;319;15 623;15 312;319;15 631
a644;lipiec 2017;14 444;9 330;55;9 385;9 547;55;9 602
a645;lipiec 2017;28 758;21 431;1 890;23 321;21 431;1 890;23 321
a646;lipiec 2017;67 528;18 159;363;18 522;18 159;371;18 530
a647;lipiec 2017;36 215;30 877;215;31 092;30 939;215;31 154
a648;lipiec 2017;17 155;11 168;182;11 350;11 168;182;11 350
a649;lipiec 2017;6 747;4 443;16;4 459;4 589;16;4 605
a650;lipiec 2017;188 480;106 155;1 644;107 799;110 512;12 275;122 787
a651;lipiec 2017;21 973;15 852;130;15 982;15 973;130;16 103
a652;lipiec 2017;28 892;21 690;94;21 784;21 694;94;21 788
a653;maj 2017;6 816;2 917;76;2 993;2 917;76;2 993
a654;lipiec 2017;5 912;4 047;23;4 070;4 102;23;4 125
a655;lipiec 2017;14 381;8 227;75;8 302;9 077;75;9 152
a656;maj 2017;14 539;9 781;210;9 991;10 302;210;10 512
a657;lipiec 2017;12 444;9 261;81;9 342;9 261;81;9 342
a658;lipiec 2017;10 600;2 500;1 649;4 149;2 529;1 949;4 478
a659;lipiec 2017;8 586;2 639;127;2 766;2 639;127;2 766
a660;lipiec 2017;60 868;29 494;378;29 872;29 494;378;29 872
a661;lipiec 2017;10 448;6 374;3 278;9 652;6 946;3 278;10 224
a662;lipiec 2017;75 082;37 606;11 235;48 841;37 652;11 235;48 887
a663;lipiec 2017;10 356;5 121;17;5 138;5 121;17;5 138
a664;lipiec 2017;220 205;127 493;0;127 493;128 213;0;128 213
a665;lipiec 2017;11 952;5 957;0;5 957;5 957;0;5 957
